id,term,translation,domain
844,agrarian system,kuadwuma nhyehyɛeɛ,agric
845,agrarianism,kuadwuma gyedie,agric
846,agribusiness,kuadwuma aguadie,agric
847,agricultural aircraft,kuadwuma wimhyɛn,agric
848,agricultural cooperative,kuadwuma nkabom kuo,agric
849,agricultural cycle,kuadwuma mmerɛ nhyehyɛeɛ,agric
850,agricultural economics,kuadwuma sikasɛm,agric
851,agricultural engineering,kuadwuma mfidwuma,agric
852,agricultural extension,kuadwuma nkyerɛkyerɛ,agric
853,agricultural fencing,kuadwuma aban,agric
854,agricultural land,kuadwuma asase,agric
855,agricultural machinery,kuadwuma mfiri,agric
856,agricultural productivity,kuadwuma nsodeɛ,agric
857,agricultural recession,kuadwuma asehweɛ,agric
858,agricultural science,kuadwuma nimdeɛ,agric
859,agriculture,kuadwuma,agric
860,agriculturist,okuafoɔ,agric
861,agritourism,kuadwuma nsrahwɛ,agric
862,agrivoltaics,kuadwuma anyinam ahoɔden,agric
863,agrobiology,kuadwuma abɔdeɛ mu nimdeɛ,agric
864,agroecology,kuadwuma tebea ho nimdeɛ,agric
865,agroecosystem,kuadwuma tebea nhyehyɛeɛ,agric
866,agroforestry,kuadwuma ne kwaeɛ,agric
867,agrology,asase mu nimdeɛ,agric
868,agronomy,mfudeɛ ho nimdeɛ,agric
869,algaculture,nkyene yɛ,agric
870,animal engine,aboa mfiri,agric
871,animal feed,aboa aduane,agric
872,animal unit,aboa dodow,agric
873,animal-free agriculture,aboa nni kuadwuma,agric
874,apiculture,nwowa yɛ,agric
875,aquaculture,nsu mu mmoa yɛ,agric
876,aquaponics,nsu ne mpataa yɛ,agric
877,arable land,asase a wɔtumi dua,agric
878,arboricide,nnua kum aduro,agric
879,artificial daylight supplementation,awia hann nkabom,agric
880,artificial selection,nsa paw,agric
881,assarting,kwaeɛ yi,agric
882,backfat,akyi srade,agric
883,backgrounding,mmoa yɛneyɛ,agric
884,bale,ɛho akyekyere,agric
885,bale wrapper,ɛho akyekyere nkataho,agric
886,barbed wire,ntweaban hankare,agric
887,barn,mmoa dan,agric
888,barnyard,mmoa dan adiwo,agric
889,barrow,prako a wɔayi ne mma,agric
890,bearing acres,eka a ɛsow aba,agric
891,beef cattle,nantwi a wɔde yɛ nam,agric
892,beefalo,nantwi ne efuo mmoawa,agric
893,beekeeping,nwowa hwɛ,agric
894,biennial bearing,mfeɛ mmienu mu aba,agric
895,billy goat,paprɛko,agric
896,bin burn,aboa aduan hyeɛ,agric
897,biochar,abɔdeɛ bidie,agric
898,biodynamic agriculture,abɔdeɛ ahoɔden kuadwuma,agric
899,bioeffector,abɔdeɛ nsakraeɛ,agric
900,biofertilizer,abɔdeɛ asase ahoɔdennuro,agric
901,biofortification,abɔdeɛ ahoɔdennuro nkabom,agric
902,biofuel,abɔdeɛ fango,agric
903,bioinoculant,abɔdeɛ mmoawa de hyɛ,agric
904,biological farming,abɔdeɛ kuadwuma,agric
905,biosaline agriculture,nkyene kuadwuma,agric
906,biosolarization,owia so abɔdeɛ kum,agric
907,bioturbation,abɔdeɛ asase wosow,agric
908,blood meal,mogya aduane,agric
909,boar,prako,agric
910,bobby calf,nantwi ba ketewa,agric
911,boll,kotoku dabere,agric
912,bolting,ntɛm nhwiren,agric
913,bone meal,nnompe aduane,agric
914,border irrigation,ahye so nsu gugu,agric
915,bran,aburoo ho nwini,agric
916,branding,gyinaberɛ hyɛ,agric
917,branding iron,dadeɛ a wɔde hyɛ gyinaberɛ,agric
918,breadbasket,aduane bea,agric
919,broadacre,asase kɛseɛ,agric
920,broadcast seeding,aba pete,agric
921,broadfork,aforɔ kɛseɛ,agric
922,broiler,akokɔ a wɔde yɛ nam,agric
923,brood,akokɔ mma,agric
924,brooding,akokɔ mma hwɛ,agric
925,brown manure,mono sumina,agric
926,browsing,nhaban didi,agric
927,Bt crop,Bt mfudeɛ,agric
928,buck,aponkye anini,agric
929,bucking,ntweaban mu didi,agric
930,bull,nantwinini,agric
931,bullock,nantwi a wɔayi ne mma,agric
932,bumper crop,otwa pii,agric
933,bushel,busɛl susudua,agric
934,calf,nantwi ba,agric
935,calf hutch,nantwi ba dan ketewa,agric
936,calving,nantwi ba wo,agric
937,candling,nkesua mu hwɛ,agric
938,cane mill,asɛɛ yam fie,agric
939,capon,akokɔnini a wɔayi ne mma,agric
940,care farming,hwɛ kuadwuma,agric
941,carryover,nkaeɛ,agric
942,carton,kaatɔn,agric
943,cash crop,sika otwa,agric
944,castration,mma yi,agric
945,catalo,nantwi ne efuo mmoawa,agric
946,catch crop,ntɛm otwa,agric
947,cattle,anantwie,agric
948,cattle cycle,nantwi mmerɛ nhyehyɛeɛ,agric
949,cattle drive,nantwi ka kɔ,agric
950,cattle prod,nantwi kanea,agric
951,cattle station,nantwi fie,agric
952,cattleman,ɔnantwiyɛfoɔ,agric
953,cellular agriculture,nkwammoa kuadwuma,agric
954,cellulosic fiber,nnua ntoma,agric
955,census of agriculture,kuadwuma nkontaa,agric
956,center-pivot irrigation,mfimfini so nsu gugu,agric
957,cereal,aburoo,agric
958,certified seed,aba a wɔagye atom,agric
959,chaff,aburoo ho,agric
960,chemical fallow,aduro gua so,agric
961,chemigation,aduro ne nsu gugu,agric
962,chevon,aponkye nam,agric
963,chisel plough,funtum,agric
964,circle irrigation,ahinanan nsu gugu,agric
965,citriculture,ankaa dua,agric
966,cloche,ahwehwɛ nkataho,agric
967,cock,akokɔnini,agric
968,cockerel,akokɔnini kumaa,agric
969,cold frame,awɔ ahwehwɛ dan,agric
970,collective farming,nkabom kuadwuma,agric
971,colostrum,nufosuo a ɛdi kan,agric
972,colt,pɔnkɔ ba,agric
973,columbarium,mmorɔnoma dan,agric
974,combine harvester,otwa ne ntwaho mfiri,agric
975,companion planting,nkabom dua,agric
976,complete feed,aduane a ɛyɛ ma,agric
977,compost,nwira sumina,agric
978,compound feed,aduane a wɔaka bom,agric
979,condensery,nufosuo so yɛ fie,agric
980,conservation tillage,asase kora funtum,agric
981,container gardening,nkuku mu turo,agric
982,continuous harvest,daa otwa,agric
983,contour farming,bepɔ so kuadwuma,agric
984,contract farming,apam so kuadwuma,agric
985,conventional tillage,daa funtum,agric
986,coop,akokɔ dan,agric
987,co-op,nkabom kuo,agric
988,coppicing,nnua twa ma ɛnnya bio,agric
989,copse,nnua kumaa,agric
990,corn crib,aburo kora dan,agric
991,corporate farming,adwumakuo kuadwuma,agric
992,cotton gin,asaawa yi mfiri,agric
993,cow,nantwi bere,agric
994,cowbell,nantwi dawuro,agric
995,cow–calf operation,nantwi ne ne ba hwɛ,agric
996,cow-calf separation,nantwi ne ba mu te,agric
997,creamery,srade yɛ fie,agric
998,creep feeding,mma adidi,agric
999,crop,otwa,agric
1000,crop insurance,otwa banbɔ,agric
1001,crop mark,otwa gyinaberɛ,agric
1002,crop residue,otwa nkaeɛ,agric
1003,crop rotation,otwa nsakraeɛ,agric
1004,crop water productivity,otwa nsu nsodeɛ,agric
1005,crop weed,otwa mu wura,agric
1006,cropdusting,otwa so aduro pete,agric
1007,crop-lien system,otwa bɔ nhyehyɛeɛ,agric
1008,cropping,otwa yɛ,agric
1009,crutching,odwan ho nwi yi,agric
1010,cryophilous crop,awɔ otwa,agric
1011,cull,paw fi mu,agric
1012,cultipacker,asase sosoɔ mfiri,agric
1013,cultivar,dua ɔkyɛfa,agric
1014,cultivation,dua,agric
1015,cultural control,amammerɛ so hwɛ,agric
1016,cultured meat,nkwammoa nam,agric
1017,custom harvesting,pɛ so otwa,agric
1018,dairy cattle,nufosuo nantwi,agric
1019,dam,nsubura,agric
1020,damping off,nsuo pii wu,agric
1021,dead hedge,aban a awu,agric
1022,dead stock,mmoa a wɔawu,agric
1023,deadheading,nhwiren a awu yi,agric
1024,deadweight,aboa duru a awu,agric
1025,deblossoming,nhwiren yi,agric
1026,defoliant,nhaban yi aduro,agric
1027,deintensified farming,kuadwuma a wɔate so,agric
1028,dessert crop,aduan pa otwa,agric
1029,detasseling,aburoo ti yi,agric
1030,dewatering,nsu yi,agric
1031,dewattling,mene yi,agric
1032,deworming,nsono yi,agric
1033,diatomaceous earth,diatom asase,agric
1034,dibber,tokuro yɛ adeɛ,agric
1035,digeponics,fam mu mfudeɛ,agric
1036,digital agriculture,dijitaal kuadwuma,agric
1037,dipping,aboa de hyɛ aduro mu,agric
1038,dockage,nneɛma bɔne yi,agric
1039,docking,dua yi,agric
1040,doddie,nantwi a ɔnni mmɛn,agric
1041,doe,wansane bere,agric
1042,dogie,nantwi ba a ɔnni maame,agric
1043,domestication,fie aboa yɛ,agric
1044,dovecote,mmorɔnoma dan,agric
1045,draff,adeɛ a wɔanoa,agric
1046,draft animal,aboa a ɔtwe,agric
1047,drawbar,atwedeɛ,agric
1048,drenching,aduro ma aboa nom,agric
1049,dressed weight,aboa duru a wɔayi ne ho,agric
1050,drinker,nsuo nom adeɛ,agric
1051,drip irrigation,nsuo susu,agric
1052,drop shed,aboa wo dan,agric
1053,droving,mmoa ka kɔ,agric
1054,dry cow,nantwi a ɔnnyɛ nufosuo,agric
1055,dry milling,sukɔɔ yam,agric
1056,dryland farming,asase a ɛnyɛ tɔɔ so kuadwuma,agric
1057,dubbing,akokɔ ti aboa mu twa,agric
1058,dynamic compaction,ahoɔden asase sosoɔ,agric
1059,earlage,aburo mmofra,agric
1060,earmark,aso so gyinaberɛ,agric
1061,earthing up,asase de kata,agric
1062,ecological farming,tebea kuadwuma,agric
1063,ecology,tebea ho nimdeɛ,agric
1064,economic maturity,sika so nyin,agric
1065,edaphology,asase su ho nimdeɛ,agric
1066,edge effects,ano nsunsuansoɔ,agric
1067,effective precipitation,osutɔ a ɛboa,agric
1068,emblements,otwa a ɛda so,agric
1069,energy crop,ahoɔden otwa,agric
1070,ensilaging,aduane kora wɔ dan mu,agric
1071,entire,aboa a wɔnnyii ne mma,agric
1072,ewe,odwan bere,agric
1073,exclosure,ban a wɔato,agric
1074,extensive agriculture,kuadwuma a ɛtrɛ,agric
1075,factory farming,fektri kuadwuma,agric
1076,fallow,asase a wɔagua so,agric
1077,fallow crop,gua so otwa,agric
1078,family farm,abusua kuafuo,agric
1079,farm,kuafuo,agric
1080,farm assurance,kuafuo banbɔ,agric
1081,farm crisis,kuafuo ɔhaw,agric
1082,farm gate value,kuafuo ɛpono so boɔ,agric
1083,farm stand,kuafuo tɔn bea,agric
1084,farm water,kuafuo nsu,agric
1085,farmer,okuafoɔ,agric
1086,farmers' co-op,akuafoɔ nkabom kuo,agric
1087,farmers' market,akuafoɔ gua,agric
1088,farming,kuadwuma,agric
1089,farmland,kuadwuma asase,agric
1090,farmstead,kuafuo fie,agric
1091,farm-to-table,kuafuo kɔ pon so,agric
1092,farrow,prako mma wo,agric
1093,farrowing,prako mma awo,agric
1094,fatling,aboa a wɔama asrade,agric
1095,fatstock,mmoa a wɔama asrade,agric
1096,fattening,srade ma,agric
1097,feather meal,ntakra aduane,agric
1098,fed cattle,anantwie a wɔama wɔn aduane,agric
1099,feed,aduane ma,agric
1100,feed grain,aburoo a wɔde ma mmoa,agric
1101,feedlot,mmoa adidibea,agric
1102,fencerow,aban ho,agric
1103,fertigation,ahoɔdennuro ne nsu gugu,agric
1104,fertilizer,ahoɔdennuro,agric
1105,fiber crop,ntoma otwa,agric
1106,field,afuo,agric
1107,field crop,afuo otwa,agric
1108,field day,afuo da,agric
1109,filly,pɔnkɔ ba bere,agric
1110,filter strip,nsusue ntadeɛ,agric
1111,finishing,aboa awie yɛ,agric
1112,fire farming,ogya kuadwuma,agric
1113,fired,wɔato ogya,agric
1114,fish emulsion,mpataa nsu ahoɔdennuro,agric
1115,fish farming,mpataa yɛ,agric
1116,fixing,siesie,agric
1117,flat planting,dada so dua,agric
1118,flood irrigation,osutɔ gugu,agric
1119,fleece,odwan ho nwi,agric
1120,flock,odwan kuo,agric
1121,floriculture,nhwiren yɛ,agric
1122,flushing,mmoa ma aduane pa,agric
1123,foal,pɔnkɔ ba,agric
1124,foaling,pɔnkɔ ba wo,agric
1125,fodder,mmoa aduane,agric
1126,food security,aduane ahobammɔ,agric
1127,food systems,aduane nhyehyɛeɛ,agric
1128,foodscaping,aduane turo,agric
1129,foodshed,aduane bea,agric
1130,food-feed system,aduane ne mmoa aduane nhyehyɛeɛ,agric
1131,foliar feeding,nhaban so aduane,agric
1132,forage,mmoa aduane hwehwɛ,agric
1133,forcing,hyɛ ma enyin ntɛm,agric
1134,forest farming,kwaeɛ kuadwuma,agric
1135,founder,anan mu yareɛ,agric
1136,free range,mpɔtam hɔ nantew,agric
1137,freemartin,nantwi ba bere a ɔnwo,agric
1138,freshening,nufosuo firi aseɛ,agric
1139,frost control,awɔkyeneeɛ si ano,agric
1140,fruticulture,nnuaba yɛ,agric
1141,fryer,akokɔ a wɔde kyekyere,agric
1142,fuelwood,nnua a wɔde so ogya,agric
1143,fungiculture,mmire yɛ,agric
1144,fur farming,nwi mmoa yɛ,agric
1145,furrow irrigation,tokuro mu nsu gugu,agric
1146,garden,turo,agric
1147,gardening,turo yɛ,agric
1148,gelding,pɔnkɔ a wɔayi ne mma,agric
1149,germination,aba fifiri,agric
1150,gestation crate,aboa nyanso dan,agric
1151,gilt,prako bere a ɔnwoo,agric
1152,ginning,asaawa yi,agric
1153,glasshouse,ahwehwɛ dan,agric
1154,gleaning,otwa akyi aboa,agric
1155,glyphosate,glyphosate aduro,agric
1156,goad,mmoa kanea,agric
1157,gobbler,kɔkɔte,agric
1158,grain,aburoo,agric
1159,grain drying,aburoo hye,agric
1160,grain elevator,aburoo mma ɛso,agric
1161,grain leg,aburoo ɔkwan,agric
1162,granary,aburoo kora dan,agric
1163,grass-fed,ɛserɛ a wɔde yɛnee,agric
1164,grazier,ɔnantwiyɛfoɔ,agric
1165,grazing,ɛserɛ didi,agric
1166,grease wool,srade odwan ho nwi,agric
1167,green chop,mono twa,agric
1168,green manure,mono ahoɔdennuro,agric
1169,Green Revolution,mono nsakraeɛ,agric
1170,greenhouse,ahwehwɛ dan,agric
1171,grelinette,aforɔ kɛseɛ,agric
1172,grist,aburoo a wɔayam,agric
1173,gristmill,aburoo yam fie,agric
1174,groundcover,fam kata,agric
1175,growing season,dua bere,agric
1176,hake bar,hake dua,agric
1177,hardpan,asase den,agric
1178,harrow,asase boboɔ mfiri,agric
1179,harvest,otwa,agric
1180,harvest index,otwa akontaa,agric
1181,harvested acres,eka a wɔatwa,agric
1182,harvesting,otwa yɛ,agric
1183,hay,ɛserɛ a wɔahye,agric
1184,hay bucking,ɛserɛ kyekyere,agric
1185,hay fever,ɛserɛ yareɛ,agric
1186,hay knife,ɛserɛ sekan,agric
1187,hay rake,ɛserɛ boaboa,agric
1188,hay steaming,ɛserɛ nsu a ɛyɛ hyeɛ,agric
1189,haycock,ɛserɛ boaboa,agric
1190,haylage,ɛserɛ a wɔakora,agric
1191,hayloft,ɛserɛ kora soro,agric
1192,hayrack,ɛserɛ didiadeɛ,agric
1193,hayseed,ɛserɛ aba,agric
1194,haystack,ɛserɛ boaboa kɛseɛ,agric
1195,headland,afuo ano asase,agric
1196,headrace,nsu ɔkwan,agric
1197,heifer,nantwi ba bere a ɔnwoo,agric
1198,hefting,odwan bea,agric
1199,heirloom,awo ntoatoaso,agric
1200,heliciculture,nwa yɛ,agric
1201,hemerochory,nnipa aba pete,agric
1202,hen,akokɔ bere,agric
1203,herbicide,wura kum aduro,agric
1204,herbicide resistance,wura kum aduro nnyɛ hwee,agric
1205,herding,mmoa hwɛ,agric
1206,hide,aboa ho were,agric
1207,high tunnel,soro ahwehwɛ dan,agric
1208,hill farming,bepɔ kuadwuma,agric
1209,hilling,bepɔ ketewa yɛ,agric
1210,hinny,pɔnkɔ ne afunumu mmoawa,agric
1211,hobby farm,anigyedeɛ kuafuo,agric
1212,hoe,asɔ,agric
1213,hog,prako,agric
1214,hog off,prako didi,agric
1215,hogget,odwan a wadi afe,agric
1216,home-grown,fie mu dua,agric
1217,honey plant,nwoɔ afifideɛ,agric
1218,honey wagon,sumina teaseɛnam,agric
1219,hoophouse,ahwehwɛ dan ketewa,agric
1220,hop kiln,hop hye dan,agric
1221,horticulture,turo yɛ,agric
1222,hot dressed carcass weight,ɔhyeɛ aboa duru,agric
1223,hotbed,ɔhyeɛ afuo,agric
1224,hothouse,ɔhyeɛ dan,agric
1225,humus,asase pa,agric
1226,husbandry,mmoa hwɛ,agric
1227,hybrid,mmoawa,agric
1228,hybrid vigor,mmoawa ahoɔden,agric
1229,hydroponics,nsu mu mfudeɛ,agric
1230,idle land,asase a wɔmfa nyɛ hwee,agric
1231,incubator,nkesua fifiri mfiri,agric
1232,indicator species,nkyerɛkyerɛ adeɛ,agric
1233,industrial agriculture,dwumadie kuadwuma,agric
1234,industrial crop,dwumadie otwa,agric
1235,input,nneɛma a wɔde hyɛ mu,agric
1236,insecticide,mmoawa kum aduro,agric
1237,intact,aboa a wɔnnyii ne mma,agric
1238,intensive agriculture,kuadwuma a emu yɛ den,agric
1239,intensive animal farming,mmoa yɛ a emu yɛ den,agric
1240,intercropping,mfudeɛ ka bom dua,agric
1241,irrigation,nsu gugu,agric
1242,jack,afunumu anini,agric
1243,jenny,afunumu bere,agric
1244,kernel,aburoo mu adeɛ,agric
1245,kid,aponkye ba,agric
1246,kidding,aponkye ba wo,agric
1247,lamb,odwan ba,agric
1248,lairage,mmoa dan,agric
1249,lambing,odwan ba wo,agric
1250,land improvement,asase tu mpɔn,agric
1251,landrace,asase su mfudeɛ,agric
1252,lard,prako srade,agric
1253,layer,nkesua to akokɔ,agric
1254,leaching,nsu so twe,agric
1255,liming,kalɛki de gu,agric
1256,linear aeration,atɛtrɛmu mframa,agric
1257,lint,asaawa ntoma,agric
1258,liquid manure,sumina a ɛyɛ nsu,agric
1259,livestock,mmoa,agric
1260,liveweight,aboa duru a ɔte ase,agric
1261,living mulch,afifideɛ fam kata,agric
1262,lodging,afifideɛ hwe,agric
1263,lumber,nnua a wɔatwa,agric
1264,lynchet,bepɔ so afuo,agric
1265,magnanery,abuburo yɛ dan,agric
1266,malt,aburoo a wɔama anɔ,agric
1267,malt house,malt yɛ dan,agric
1268,manger,aboa adidibea,agric
1269,manure,sumina,agric
1270,manure spreader,sumina pete mfiri,agric
1271,marc,aba a wɔahye,agric
1272,mare,pɔnkɔ bere,agric
1273,mariculture,po mu mmoa yɛ,agric
1274,mash,aduane a wɔayam,agric
1275,mast,nnua aba,agric
1276,maternity pen,aboa awo dan,agric
1277,matron,aboa bere,agric
1278,maverick,nantwi a ɔnni wura,agric
1279,meadow,ɛserɛ bea,agric
1280,mechanized agriculture,mfiri kuadwuma,agric
1281,merchantable volume,tɔn dodow,agric
1282,microbial inoculant,mmoawa nketenkete de hyɛ,agric
1283,micro-irrigation,nsu gugu ketewa,agric
1284,middlings,aburoo mu nneɛma,agric
1285,milk,nufosuo,agric
1286,milk cow,nufosuo nantwi,agric
1287,milking,nufosuo twe,agric
1288,milking parlor,nufosuo twe bea,agric
1289,milkshed,nufosuo bea,agric
1290,mill,yam fie,agric
1291,milling,yam,agric
1292,millrace,yam fie nsu ɔkwan,agric
1293,minimum tillage,funtum kakra,agric
1294,minor crop,otwa ketewa,agric
1295,miticide,nkramamoadi kum aduro,agric
1296,mixed farming,kuadwuma a wɔaka bom,agric
1297,monocropping,otwa baako dua,agric
1298,monoculture,mfudeɛ baako dua,agric
1299,mote,aburoo bɔne,agric
1300,mouldboard,asase dan,agric
1301,mouthing,ano mu hwɛ,agric
1302,mulch,fam kata,agric
1303,mule,pɔnkɔ ne afunumu mmoawa,agric
1304,muley,nantwi a ɔnni mmɛn,agric
1305,multigerm seed,aba pii,agric
1306,multiple cropping,otwa pii dua,agric
1307,mustering,mmoa boaboa,agric
1308,mutton,odwan nam,agric
1309,nanny goat,paprɛ bere,agric
1310,naps,ntoma so nwi,agric
1311,neps,ntoma mu bɔne,agric
1312,net farm income,kuafuo sika a wɔanya,agric
1313,neutering,mma yi,agric
1314,non-program crop,otwa a ɛnni nhyehyɛeɛ,agric
1315,northern vigor,atifi fam ahoɔden,agric
1316,no-till farming,funtum nni kuadwuma,agric
1317,noxious weed,wura a ɛyɛ bɔne,agric
1318,NPK,ahoɔdennuro ahodoɔ baasa,agric
1319,nurse cow,nantwi a ɔhwɛ mma,agric
1320,nurse crop,otwa a ɔhwɛ foforɔ,agric
1321,nursery,afifideɛ yɛ bea,agric
1322,nutrient pollution,ahoɔdennuro fi,agric
1323,oast,hop hye dan,agric
1324,off-farm stocks,kuafuo akyi nneɛma,agric
1325,oilseed crop,ngo aba otwa,agric
1326,olericulture,atosodeɛ yɛ,agric
1327,once grown seed,aba a wɔadua prɛko pɛ,agric
1328,once-over tillage,funtum prɛko pɛ,agric
1329,on-farm stocks,kuafuo so nneɛma,agric
1330,on-the-hoof,aboa a ɔte ase,agric
1331,open,wɔabue,agric
1332,open range,mpɔtam a wɔabue,agric
1333,orchard,nnuaba turo,agric
1334,orchardry,nnuaba turo yɛ,agric
1335,organic farming,abɔdeɛ kuadwuma,agric
1336,organic fertilizer,abɔdeɛ ahoɔdennuro,agric
1337,orthodox seed,aba a ɛyɛ daa,agric
1338,outbuilding,abɔnten dan,agric
1339,outfarm,kuafuo akyi,agric
1340,out-wintering,awɔ bere wɔ abɔnten,agric
1341,overcropping,otwa pii dodo,agric
1342,ox,nantwi a wɔde yɛ adwuma,agric
1343,packinghouse,nneɛma pɛɛkyɛ dan,agric
1344,paddy farming,ɛmo kuadwuma,agric
1345,paddy field,ɛmo afuo,agric
1346,pannage,kwaeɛ mu mmoa adidi,agric
1347,pasteurization,nufosuo hye,agric
1348,pastoral farming,mmoa hwɛ kuadwuma,agric
1349,pastoralism,mmoa hwɛ,agric
1350,pasture,mmoa adidibea,agric
1351,pastureland,mmoa adidi asase,agric
1352,pegging,dua de bɔ,agric
1353,pellet mill,pellet yɛ mfiri,agric
1354,perishable,ɛsɛe ntɛm,agric
1355,perlite,aboɔ mu adeɛ,agric
1356,permaculture,daa kuadwuma,agric
1357,permanent crop,daa otwa,agric
1358,pesticide,mmoawa kum aduro,agric
1359,pesticide refuge,mmoawa kum aduro guabea,agric
1360,pharming,aduro kuadwuma,agric
1361,pig,prako,agric
1362,piglet,prako ba,agric
1363,pigsty,prako dan,agric
1364,pineapple pit,borɔdɔma tokuro,agric
1365,pinery,nnua turo,agric
1366,pioneer crop,otwa a ɛdi kan,agric
1367,pisciculture,mpataa yɛ,agric
1368,pitchfork,aforɔ,agric
1369,plant breeding,afifideɛ yɛ,agric
1370,plantation,dua kɛseɛ,agric
1371,plashing,aban yɛ,agric
1372,plastic mulch,palastiki fam kata,agric
1373,plasticulture,palastiki kuadwuma,agric
1374,pleaching,nnua boboɔ,agric
1375,plough,funtum,agric
1376,plough pan,funtum asase den,agric
1377,plough planting,funtum dua,agric
1378,ploughing,funtum yɛ,agric
1379,ploughshare,funtum ano,agric
1380,plug,afifideɛ ketewa,agric
1381,plunge dip,de hyɛ aduro mu,agric
1382,poddy,nantwi ba a wɔde nufosuo ma,agric
1383,pollarding,nnua ti twa,agric
1384,polled,mmoa a ɔnni mmɛn,agric
1385,pollen drift,mpɔtɔ tu kɔ,agric
1386,polyculture,mfudeɛ ahodoɔ pii dua,agric
1387,polytunnel,palastiki ahwehwɛ dan,agric
1388,pomology,nnuaba ho nimdeɛ,agric
1389,ponding,nsu gyina,agric
1390,pork,prako nam,agric
1391,postemergent,efifiri akyi,agric
1392,postharvest,otwa akyi,agric
1393,postharvest losses,otwa akyi hwere,agric
1394,poult,kɔkɔ ba,agric
1395,poultry,nnomaa,agric
1396,poundage quota,duru akontaa,agric
1397,precision seeding,pɛpɛɛpɛ aba dua,agric
1398,precleaning,kane ho yi,agric
1399,preemergent,efifiri ansa,agric
1400,preharvest,otwa ansa,agric
1401,prices paid index,ka a wɔatua akontaa,agric
1402,prices received index,sika a wɔanya akontaa,agric
1403,prilled,nkuruwa nketenkete,agric
1404,primary tillage,funtum a ɛdi kan,agric
1405,priming,aba siesie,agric
1406,prod,kanea,agric
1407,produce,nnɔbaeɛ,agric
1408,profit crop,mfasoɔ otwa,agric
1409,program crop,nhyehyɛeɛ otwa,agric
1410,protein crop,protein otwa,agric
1411,provender,mmoa aduane,agric
1412,pruning,nnua twa,agric
1413,pseudocereal,aburoo sɛso,agric
1414,puddling,asase yɛ dɔte,agric
1415,pullet,akokɔ bere kumaa,agric
1416,pulpwood,pɛpa nnua,agric
1417,push–pull technology,twe-pia mfiridwuma,agric
1418,quern-stone,aburoo yam ɛboɔ,agric
1419,rafter,dan soro dua,agric
1420,rainfed field,osutɔ afuo,agric
1421,raised-bed gardening,mpoano turo,agric
1422,ram,odwan anini,agric
1423,ramification,mman pii,agric
1424,ranch,mmoa fie kɛseɛ,agric
1425,rancher,ɔmmoa hwɛfoɔ,agric
1426,ranching,mmoa hwɛ kɛseɛ,agric
1427,rangeland,mmoa adidi asase kɛseɛ,agric
1428,ratooning,ntin fifiri bio,agric
1429,reaping,otwa,agric
1430,recalcitrant seed,aba a ɛhye ntɛm,agric
1431,registered livestock,mmoa a wɔakyerɛw wɔn din,agric
1432,registered seed,aba a wɔakyerɛw wɔn din,agric
1433,relay cropping,ntoatoaso otwa,agric
1434,remainder,nkaeɛ,agric
1435,rendering,srade yɛ,agric
1436,residue,nkaeɛ,agric
1437,residue-to-product ratio,nkaeɛ ne nnɔbaeɛ bu,agric
1438,ribbon farm,kuafuo tiatia,agric
1439,riddle,pampaa,agric
1440,ridge-till,bepɔ ketewa funtum,agric
1441,ridging,bepɔ ketewa yɛ,agric
1442,ripper,asase paapae mfiri,agric
1443,roaster,akokɔ a wɔde toto,agric
1444,roguing,afifideɛ bɔne yi,agric
1445,roller,asase sosoɔ mfiri,agric
1446,rooster,akokɔnini,agric
1447,root crop,nhini otwa,agric
1448,root pruning,nhini twa,agric
1449,root zone,nhini bea,agric
1450,rotation crop,nsakraeɛ otwa,agric
1451,rotational grazing,nsakraeɛ didi,agric
1452,roughage,aduane a ɛyɛ den,agric
1453,row cover,nkyekyɛmu kata,agric
1454,row crop,nkyekyɛmu otwa,agric
1455,runholder,asase a wɔde ma mmoa didi wura,agric
1456,ruralism,akuraa asetra,agric
1457,scalping,nhaban twa,agric
1458,scarify,aba ho paapae,agric
1459,scion,dua mman a wɔde bata,agric
1460,scythe,ɛserɛ twa sekan,agric
1461,season extension,bere trɛ,agric
1462,second,nea ɛtɔ so mmienu,agric
1463,secondary tillage,funtum a ɛtɔ so mmienu,agric
1464,seed cotton,asaawa aba,agric
1465,seed crop,aba otwa,agric
1466,seed dressing,aba ho siesie,agric
1467,seed drill,aba dua mfiri,agric
1468,seed enhancement,aba tu mpɔn,agric
1469,seedbed,aba dua bea,agric
1470,seeding,aba dua,agric
1471,seedling,afifideɛ ketewa,agric
1472,seedlot,aba kuo,agric
1473,sericulture,abuburo yɛ,agric
1474,set,de si,agric
1475,setting,de si,agric
1476,shade house,nwunu dan,agric
1477,share,kyɛfa,agric
1478,sharecropping,kyɛfa kuadwuma,agric
1479,sharefarming,kyɛfa kuadwuma,agric
1480,shattering,apae,agric
1481,sheaf,ɛserɛ akyekyere,agric
1482,shearing,odwan ho nwi yi,agric
1483,shearing shed,odwan ho nwi yi dan,agric
1484,shearling,odwan a wɔayi ne ho nwi prɛko pɛ,agric
1485,sheep dip,odwan de hyɛ aduro mu,agric
1486,sheep station,odwan fie,agric
1487,sheet mulching,ntadeɛ fam kata,agric
1488,shelterbelt,nwunu nnua,agric
1489,shifting cultivation,asase nsakraeɛ kuadwuma,agric
1490,shoat,prako ba,agric
1491,shock,ɛserɛ boaboa,agric
1492,shrinkage,tesɛ,agric
1493,sickle,sekan ketewa,agric
1494,sickle feather,ntakra a ɛkyea,agric
